Date,hfck,sbic,scbk,cic,imh,bkg,ncba,eqty,kcb,ctum,coop,brit,absa,Share_Price
2014-05-23,38.0,144.0,311.0,9.95,129.0,,59.5,39.75,46.75,39.25,21.75,17.5,17.0,38.0
2014-05-26,37.5,142.0,306.0,9.9,130.0,,60.0,40.25,47.5,39.0,21.75,17.5,16.65,37.5
2014-05-27,36.75,139.0,309.0,9.95,129.0,,59.5,40.25,47.75,38.75,21.75,17.55,16.55,36.75
2014-05-28,37.5,137.0,309.0,10.0,129.0,,59.5,40.25,48.5,38.0,21.75,17.5,16.45,37.5
2014-05-29,38.0,133.0,308.0,10.4,129.0,,60.0,41.0,49.75,38.0,21.75,17.5,16.45,38.0
2014-05-30,38.25,132.0,312.0,10.4,131.0,,59.5,41.75,49.0,38.5,21.5,17.55,16.5,38.25
2014-06-03,38.25,133.0,309.0,10.35,131.0,,58.5,41.25,48.0,39.0,21.25,17.65,16.55,38.25
2014-06-04,38.5,133.0,309.0,10.15,131.0,,58.0,41.5,48.75,40.5,21.25,17.6,16.55,38.5
2014-06-05,38.5,133.0,310.0,10.0,132.0,,58.5,41.75,48.75,40.0,21.0,17.55,16.8,38.5
2014-06-06,38.25,133.0,309.0,9.95,132.0,,58.0,41.75,49.25,39.75,21.0,17.55,16.9,38.25
2014-06-09,38.25,130.0,308.0,9.9,132.0,,58.0,42.0,49.5,40.25,21.0,17.6,16.85,38.25
2014-06-10,38.0,131.0,311.0,9.95,131.0,,58.5,43.25,49.75,39.25,20.75,17.7,16.9,38.0
2014-06-11,38.0,133.0,311.0,9.95,131.0,,58.0,42.75,50.0,39.25,20.75,17.65,16.95,38.0
2014-06-12,37.75,136.0,311.0,9.95,132.0,,58.0,42.0,49.75,38.5,20.5,17.65,17.0,37.75
2014-06-13,37.75,133.0,311.0,9.95,140.0,,58.0,42.75,50.0,38.5,20.5,17.95,17.0,37.75
2014-06-16,38.0,133.0,310.0,10.05,140.0,,58.0,42.75,50.0,38.5,17.95,18.1,17.0,38.0
2014-06-17,38.25,134.0,310.0,10.05,144.0,,58.5,43.25,49.75,38.75,17.65,18.15,16.9,38.25
2014-06-18,38.25,134.0,310.0,10.0,144.0,,57.5,44.25,49.75,39.0,17.55,18.0,16.9,38.25
2014-06-19,38.0,134.0,310.0,10.05,147.0,,57.0,44.5,49.75,39.0,17.95,18.1,16.9,38.0
2014-06-20,38.25,134.0,310.0,10.0,147.0,,57.5,44.25,49.75,39.25,18.1,18.25,16.9,38.25
2014-06-23,38.25,132.0,310.0,9.95,147.0,,57.0,44.25,49.75,39.25,18.2,18.3,16.85,38.25
2014-06-24,38.5,130.0,310.0,9.9,144.0,,57.5,44.25,50.0,39.25,18.3,18.45,16.85,38.5
2014-06-25,39.5,129.0,310.0,9.4,143.0,,57.0,44.75,50.0,39.75,18.45,18.65,16.8,39.5
2014-06-26,41.0,129.0,310.0,9.4,139.0,,57.0,45.0,50.0,39.5,18.7,19.0,16.6,41.0
2014-06-27,41.5,129.0,310.0,9.8,138.0,,57.5,45.5,49.75,39.75,18.55,19.6,16.65,41.5
2014-06-30,42.75,129.0,309.0,9.95,138.0,,57.5,46.0,50.5,41.25,19.3,19.9,16.7,42.75
2014-07-01,46.75,129.0,310.0,9.8,140.0,,58.5,47.0,52.0,40.0,19.0,21.75,16.9,46.75
2014-07-02,47.0,129.0,311.0,9.45,140.0,,60.0,47.25,52.0,40.0,18.75,21.0,16.95,47.0
2014-07-03,50.0,130.0,310.0,9.35,140.0,,59.5,46.25,51.5,40.25,18.75,20.5,17.0,50.0
2014-07-04,47.0,129.0,310.0,9.55,140.0,,59.5,45.5,51.0,41.5,18.75,20.5,16.85,47.0
2014-07-07,45.75,126.0,309.0,9.6,139.0,,59.5,44.75,51.5,40.25,18.7,20.75,16.85,45.75
2014-07-08,45.25,130.0,308.0,9.75,139.0,,59.5,45.0,51.5,40.5,18.9,20.5,16.9,45.25
